pop,species,status,size.fert,embryos
pop1,floridana,uninfected,1.397,11
pop1,floridana,uninfected,1.412,19
pop1,floridana,uninfected,1.206,13
pop1,floridana,uninfected,1.285,9
pop1,floridana,uninfected,1.492,13
pop1,floridana,uninfected,1.365,7
pop1,floridana,uninfected,1.254,15
pop1,floridana,uninfected,1.27,7
pop1,floridana,uninfected,1.174,13
pop1,floridana,uninfected,1.397,18
pop1,floridana,uninfected,1.333,11
pop1,floridana,uninfected,1.492,18
pop1,floridana,uninfected,1.444,25
pop1,floridana,uninfected,1.571,27
pop1,floridana,uninfected,1.301,9
pop1,floridana,uninfected,1.571,29
pop1,floridana,uninfected,1.095,8
pop1,floridana,uninfected,1.238,12
pop1,floridana,uninfected,1.524,23
pop1,floridana,uninfected,1.64,24
pop1,floridana,uninfected,1.555,24
pop1,floridana,uninfected,1.7,30
pop1,floridana,uninfected,1.524,23
pop1,floridana,uninfected,1.159,9
pop1,floridana,uninfected,1.159,6
pop1,floridana,uninfected,1.222,13
pop1,floridana,uninfected,1.301,11
pop1,floridana,uninfected,1.444,18
pop1,floridana,uninfected,1.444,17
pop1,floridana,uninfected,1.444,16
pop1,floridana,uninfected,1.46,17
pop1,floridana,uninfected,1.349,11
pop1,floridana,uninfected,1.412,19
pop1,floridana,uninfected,1.317,6
pop1,floridana,uninfected,1.317,14
pop1,floridana,uninfected,1.301,9
pop1,floridana,uninfected,1.285,11
pop1,floridana,uninfected,1.301,9
pop1,floridana,uninfected,1.285,7
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.174,7
pop1,floridana,uninfected,1.206,10
pop1,floridana,uninfected,1.079,6
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.079,13
pop1,floridana,uninfected,1.381,14
pop1,floridana,uninfected,1.412,15
pop1,floridana,uninfected,1.285,12
pop1,floridana,uninfected,1.254,12
pop1,floridana,uninfected,1.381,17
pop1,floridana,uninfected,1.476,16
pop1,floridana,uninfected,1.381,16
pop1,floridana,uninfected,1.492,18
pop1,floridana,uninfected,1.349,13
pop1,floridana,uninfected,1.476,22
pop1,floridana,uninfected,1.412,14
pop1,floridana,uninfected,1.206,9
pop1,floridana,uninfected,1.19,10
pop1,floridana,uninfected,1.174,9
pop1,floridana,uninfected,1.27,13
pop1,floridana,uninfected,1.079,8
pop1,floridana,uninfected,1.238,9
pop1,floridana,uninfected,1.206,7
pop1,floridana,uninfected,1.254,14
pop1,floridana,uninfected,1.222,11
pop1,floridana,uninfected,1.222,15
pop1,floridana,uninfected,1.095,7
pop1,floridana,uninfected,1.365,15
pop1,floridana,uninfected,1.254,8
pop1,floridana,uninfected,1.46,15
pop1,floridana,uninfected,1.159,9
pop1,floridana,uninfected,1.19,9
pop1,floridana,uninfected,1.143,5
pop1,floridana,uninfected,1.254,10
pop1,floridana,uninfected,1.222,5
pop1,floridana,uninfected,1.206,13
pop1,floridana,uninfected,1.285,12
pop1,floridana,uninfected,1.301,11
pop1,floridana,uninfected,1.127,7
pop1,floridana,uninfected,1.254,8
pop1,floridana,uninfected,1.222,8
pop1,floridana,uninfected,1.19,7
pop1,floridana,uninfected,1.27,9
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.426,17
pop1,floridana,uninfected,1.143,9
pop1,floridana,uninfected,1.159,7
pop1,floridana,uninfected,1.095,10
pop1,floridana,uninfected,1.159,8
pop1,floridana,uninfected,1.063,5
pop1,floridana,uninfected,1.079,9
pop1,floridana,uninfected,1.317,6
pop1,floridana,uninfected,1.285,7
pop1,floridana,uninfected,1.19,7
pop1,floridana,uninfected,1.238,10
pop1,floridana,uninfected,1.143,7
pop1,floridana,uninfected,1.127,8
pop1,floridana,uninfected,1.317,10
pop1,floridana,uninfected,1.238,6
pop1,floridana,uninfected,1.222,9
pop1,floridana,uninfected,1.365,10
pop1,floridana,uninfected,1.206,11
pop1,floridana,uninfected,1.285,8
pop1,floridana,uninfected,1.254,5
pop1,floridana,uninfected,1.285,4
pop1,floridana,uninfected,1.381,9
pop1,floridana,uninfected,1.428,11
pop1,floridana,uninfected,1.127,6
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.19,7
pop1,floridana,uninfected,1.254,5
pop1,floridana,uninfected,1.46,16
pop1,floridana,uninfected,1.333,7
pop1,floridana,uninfected,1.492,13
pop1,floridana,uninfected,1.428,8
pop1,floridana,uninfected,1.412,17
pop1,floridana,uninfected,1.428,11
pop1,floridana,uninfected,1.428,11
pop1,floridana,uninfected,1.349,12
pop1,floridana,uninfected,1.349,11
pop1,floridana,uninfected,1.412,13
pop1,floridana,uninfected,1.397,12
pop1,floridana,uninfected,1.397,15
pop1,floridana,uninfected,1.397,13
pop1,floridana,uninfected,1.428,20
pop1,petronioi,infected,1.444,9
pop1,petronioi,infected,1.46,13
pop1,petronioi,infected,1.46,13
pop1,petronioi,infected,1.301,9
pop1,petronioi,infected,1.365,11
pop1,petronioi,infected,1.317,9
pop1,petronioi,infected,1.492,8
pop1,petronioi,infected,1.159,6
pop1,petronioi,infected,1.428,9
pop1,petronioi,infected,1.365,13
pop1,petronioi,infected,1.476,13
pop1,petronioi,infected,1.428,11
pop1,petronioi,infected,1.476,10
pop1,petronioi,infected,1.587,13
pop1,petronioi,infected,1.381,11
pop1,petronioi,infected,1.444,12
pop1,petronioi,infected,1.508,13
pop1,petronioi,infected,1.349,7
pop1,petronioi,infected,1.476,12
pop1,petronioi,infected,1.524,12
pop1,petronioi,infected,1.412,10
pop1,petronioi,infected,1.27,7
pop1,petronioi,infected,1.381,10
pop1,petronioi,infected,1.397,12
pop1,petronioi,infected,1.6,11
pop1,petronioi,infected,1.428,10
pop1,petronioi,infected,1.444,12
pop1,petronioi,infected,1.349,8
pop1,petronioi,infected,1.317,7
pop1,petronioi,infected,1.444,10
pop1,petronioi,infected,1.492,12
pop1,petronioi,infected,1.412,7
pop1,petronioi,infected,1.349,6
pop1,petronioi,infected,1.64,13
pop1,petronioi,infected,1.397,8
pop1,petronioi,infected,1.476,9
pop1,petronioi,infected,1.476,11
pop1,petronioi,infected,1.317,9
pop1,petronioi,infected,1.508,7
pop1,petronioi,infected,1.444,9
pop1,petronioi,infected,1.317,10
pop1,petronioi,infected,1.397,9
pop1,petronioi,infected,1.397,11
pop1,petronioi,infected,1.285,8
pop1,petronioi,infected,1.397,9
pop1,petronioi,infected,1.492,13
pop1,petronioi,infected,1.428,11
pop1,petronioi,infected,1.397,9
pop1,petronioi,infected,1.444,12
pop1,petronioi,infected,1.508,13
pop1,petronioi,infected,1.444,9
pop1,petronioi,infected,1.428,8
pop1,petronioi,infected,1.428,12
pop1,petronioi,infected,1.301,7
pop1,petronioi,infected,1.301,9
pop1,petronioi,infected,1.349,9
pop1,petronioi,infected,1.349,10
pop1,petronioi,infected,1.254,6
pop1,petronioi,uninfected,1.333,7
pop1,petronioi,uninfected,1.412,13
pop1,petronioi,uninfected,1.46,14
pop1,petronioi,uninfected,1.365,5
pop1,petronioi,uninfected,1.412,9
pop1,petronioi,uninfected,1.412,9
pop1,petronioi,uninfected,1.508,9
pop1,petronioi,uninfected,1.508,12
pop1,petronioi,uninfected,1.412,13
pop1,petronioi,uninfected,1.444,9
pop1,petronioi,uninfected,1.508,11
pop1,petronioi,uninfected,1.365,9
pop1,petronioi,uninfected,1.428,8
pop1,petronioi,uninfected,1.333,10
pop1,petronioi,uninfected,1.46,8
pop1,petronioi,uninfected,1.397,6
pop1,petronioi,uninfected,1.539,7
pop1,petronioi,uninfected,1.46,9
pop1,petronioi,uninfected,1.524,7
pop1,petronioi,uninfected,1.412,7
pop1,petronioi,uninfected,1.46,7
pop1,petronioi,uninfected,1.444,11
pop1,petronioi,uninfected,1.68,15
pop1,inflata,uninfected,1.079,7
pop1,inflata,uninfected,0.984,7
pop1,inflata,uninfected,1.032,6
pop1,inflata,uninfected,1.095,3
pop1,inflata,uninfected,1.032,4
pop1,inflata,uninfected,1.032,8
pop1,inflata,uninfected,1.032,6
pop1,inflata,uninfected,1.079,6
pop1,inflata,uninfected,0.936,4
pop1,inflata,uninfected,0.952,6
pop1,inflata,uninfected,1.016,7
pop1,inflata,uninfected,1.095,8
pop1,inflata,uninfected,0.936,5
pop1,inflata,uninfected,0.968,6
pop1,inflata,uninfected,0.952,6
pop1,inflata,uninfected,0.905,3
pop1,inflata,uninfected,1.047,5
pop1,inflata,uninfected,1.016,7
pop1,inflata,uninfected,0.968,5
pop1,inflata,uninfected,1.063,7
pop1,inflata,uninfected,1.047,6
pop1,inflata,uninfected,1.174,11
pop1,inflata,uninfected,1.111,5
pop1,inflata,uninfected,0.905,4
pop1,inflata,uninfected,1.079,6
pop1,inflata,uninfected,0.952,4
pop1,inflata,uninfected,1.032,5
pop1,inflata,uninfected,1.047,8
pop1,inflata,uninfected,1.127,8
pop1,inflata,uninfected,0.841,4
pop1,inflata,uninfected,1,6
pop1,inflata,uninfected,0.952,6
pop1,inflata,uninfected,0.936,4
pop1,inflata,uninfected,0.984,6
pop1,inflata,uninfected,0.968,5
pop1,inflata,uninfected,1.111,6
pop1,inflata,uninfected,1.095,5
pop1,inflata,uninfected,1.047,7
pop1,inflata,uninfected,1.111,9
pop1,inflata,uninfected,1.063,4
pop1,inflata,uninfected,1.047,8
pop1,inflata,uninfected,1,6
pop1,inflata,uninfected,1.143,9
pop2,floridana,uninfected,1.159,5
pop2,floridana,uninfected,1.349,18
pop2,floridana,uninfected,1.301,8
pop2,floridana,uninfected,1.317,11
pop2,floridana,uninfected,1.285,14
pop2,floridana,uninfected,1.238,11
pop2,floridana,uninfected,1.444,22
pop2,floridana,uninfected,1.254,11
pop2,floridana,uninfected,1.19,9
pop2,floridana,uninfected,1.206,10
pop2,floridana,uninfected,1.285,10
pop2,floridana,uninfected,1.254,10
pop2,floridana,uninfected,1.238,8
pop2,floridana,uninfected,1.301,14
pop2,floridana,uninfected,1.285,11
pop2,floridana,uninfected,1.127,5
pop2,floridana,uninfected,1.143,8
pop2,floridana,uninfected,1.127,7
pop2,floridana,uninfected,1.174,8
pop2,floridana,uninfected,1.143,6
pop2,floridana,uninfected,1.66,18
pop2,floridana,uninfected,1.222,7
pop2,floridana,uninfected,1.333,14
pop2,floridana,uninfected,1.159,7
pop2,floridana,uninfected,1.285,10
pop2,floridana,uninfected,1.159,9
pop2,floridana,uninfected,1.317,8
pop2,floridana,uninfected,1.174,9
pop2,floridana,uninfected,1.333,16
pop2,floridana,uninfected,1.095,3
pop2,floridana,uninfected,1.285,11
pop2,floridana,uninfected,1.27,11
pop2,floridana,uninfected,1.317,6
pop2,floridana,uninfected,1.079,6
pop2,floridana,uninfected,1.301,8
pop2,floridana,uninfected,1.317,13
pop2,floridana,uninfected,1.238,10
pop2,floridana,uninfected,1.222,8
pop2,floridana,uninfected,1.238,6
pop2,floridana,uninfected,1.238,7
pop2,floridana,uninfected,1.254,6
pop2,floridana,uninfected,1.159,9
pop2,floridana,uninfected,1.19,5
pop2,floridana,uninfected,1.333,16
pop2,floridana,uninfected,1.317,11
pop2,floridana,uninfected,1.238,9
pop2,floridana,uninfected,1.27,8
pop2,floridana,uninfected,1.254,7
pop2,floridana,uninfected,1.444,11
pop2,floridana,uninfected,1.254,11
pop2,floridana,uninfected,1.19,7
pop2,floridana,uninfected,1.159,11
pop2,floridana,uninfected,1.444,24
pop2,floridana,uninfected,1.285,12
pop2,floridana,uninfected,1.19,7
pop2,floridana,uninfected,1.254,8
pop2,floridana,uninfected,1.285,10
pop2,floridana,uninfected,1.159,8
pop2,floridana,uninfected,1.381,9
pop2,floridana,uninfected,1.317,11
pop2,floridana,uninfected,1.254,11
pop2,floridana,uninfected,1.333,13
pop2,floridana,uninfected,1.301,10
pop2,floridana,uninfected,1.19,7
pop2,floridana,uninfected,1.27,8
pop2,floridana,uninfected,1.285,12
pop2,floridana,uninfected,1.174,11
pop2,floridana,uninfected,1.333,12
pop2,floridana,uninfected,1.19,8
pop2,floridana,uninfected,1.381,13
pop2,floridana,uninfected,1.301,12
pop2,floridana,uninfected,1.159,10
pop2,floridana,uninfected,1.333,12
pop2,floridana,uninfected,1.254,12
pop2,floridana,uninfected,1.27,9
pop2,floridana,uninfected,1.254,12
pop2,floridana,uninfected,1.127,7
pop2,floridana,uninfected,1.127,8
pop2,floridana,uninfected,1.222,9
pop2,floridana,uninfected,1.143,7
pop2,floridana,uninfected,1.206,9
pop2,floridana,uninfected,1.159,8
pop2,floridana,uninfected,1.317,12
pop2,floridana,uninfected,1.095,6
pop2,floridana,uninfected,1.349,11
pop2,floridana,uninfected,1.206,8
pop2,floridana,uninfected,1.111,7
pop2,floridana,uninfected,1.174,9
pop2,floridana,uninfected,1.127,8
pop2,floridana,uninfected,1.174,7
pop2,floridana,uninfected,1.66,20
pop2,floridana,uninfected,1.349,14
pop2,floridana,uninfected,1.19,6
pop2,floridana,uninfected,1.285,6
pop2,floridana,uninfected,1.444,19
pop2,floridana,uninfected,1.254,14
pop2,floridana,uninfected,1.317,14
pop2,floridana,uninfected,1.159,9
pop2,floridana,uninfected,1.159,5
pop2,floridana,uninfected,1.492,19
pop2,floridana,uninfected,1.412,15
pop3,inflata,uninfected,1,5
pop3,inflata,uninfected,1.079,10
pop3,inflata,uninfected,1.111,6
pop3,inflata,uninfected,1.032,3
pop3,inflata,uninfected,1.127,3
pop3,inflata,uninfected,0.968,4
pop3,inflata,uninfected,0.968,3
pop3,inflata,uninfected,1.095,5
