species,status,size,eggs
petronioi,infected,1.444,9
petronioi,infected,1.46,13
petronioi,infected,1.46,13
petronioi,infected,1.301,9
petronioi,infected,1.365,11
petronioi,infected,1.317,9
petronioi,infected,1.492,8
petronioi,infected,1.159,6
petronioi,infected,1.428,9
petronioi,infected,1.365,13
petronioi,infected,1.476,13
petronioi,infected,1.428,11
petronioi,infected,1.476,10
petronioi,infected,1.587,13
petronioi,infected,1.381,11
petronioi,infected,1.444,12
petronioi,infected,1.508,13
petronioi,infected,1.349,7
petronioi,infected,1.476,12
petronioi,infected,1.524,12
petronioi,infected,1.412,10
petronioi,infected,1.27,7
petronioi,infected,1.381,10
petronioi,infected,1.397,12
petronioi,infected,1.6,11
petronioi,infected,1.428,10
petronioi,infected,1.444,12
petronioi,infected,1.349,8
petronioi,infected,1.317,7
petronioi,infected,1.444,10
petronioi,infected,1.492,12
petronioi,infected,1.412,7
petronioi,infected,1.349,6
petronioi,infected,1.64,13
petronioi,infected,1.397,8
petronioi,infected,1.476,9
petronioi,infected,1.476,11
petronioi,infected,1.317,9
petronioi,infected,1.508,7
petronioi,infected,1.444,9
petronioi,infected,1.317,10
petronioi,infected,1.397,9
petronioi,infected,1.397,11
petronioi,infected,1.285,8
petronioi,infected,1.397,9
petronioi,infected,1.492,13
petronioi,infected,1.428,11
petronioi,infected,1.397,9
petronioi,infected,1.444,12
petronioi,infected,1.508,13
petronioi,infected,1.444,9
petronioi,infected,1.428,8
petronioi,infected,1.428,12
petronioi,infected,1.301,7
petronioi,infected,1.301,9
petronioi,infected,1.349,9
petronioi,infected,1.349,10
petronioi,infected,1.254,6
petronioi,uninfected,1.333,7
petronioi,uninfected,1.412,13
petronioi,uninfected,1.46,14
petronioi,uninfected,1.365,5
petronioi,uninfected,1.412,9
petronioi,uninfected,1.412,9
petronioi,uninfected,1.508,9
petronioi,uninfected,1.508,12
petronioi,uninfected,1.412,13
petronioi,uninfected,1.444,9
petronioi,uninfected,1.508,11
petronioi,uninfected,1.365,9
petronioi,uninfected,1.428,8
petronioi,uninfected,1.333,10
petronioi,uninfected,1.46,8
petronioi,uninfected,1.397,6
petronioi,uninfected,1.539,7
petronioi,uninfected,1.46,9
petronioi,uninfected,1.524,7
petronioi,uninfected,1.412,7
petronioi,uninfected,1.46,7
petronioi,uninfected,1.444,11
petronioi,uninfected,1.68,15
petronioi,infected,1.492,7
petronioi,infected,1.428,10
petronioi,infected,1.555,14
petronioi,infected,1.365,10
petronioi,infected,1.285,6
petronioi,infected,1.317,10
petronioi,infected,1.349,9
petronioi,infected,1.492,11
petronioi,infected,1.397,9
petronioi,infected,1.524,8
petronioi,infected,1.333,9
petronioi,infected,1.66,13
petronioi,infected,1.492,13
petronioi,infected,1.365,10
petronioi,infected,1.508,11
petronioi,infected,1.46,12
petronioi,infected,1.476,10
petronioi,infected,1.428,11
petronioi,infected,1.428,11
petronioi,infected,1.381,8
petronioi,infected,1.428,13
petronioi,infected,1.476,12
petronioi,infected,1.428,10
petronioi,infected,1.381,11
petronioi,infected,1.428,10
petronioi,infected,1.333,9
petronioi,infected,1.46,11
petronioi,infected,1.397,11
petronioi,infected,1.333,10
petronioi,infected,1.349,8
petronioi,infected,1.444,10
petronioi,infected,1.412,11
petronioi,infected,1.46,11
petronioi,infected,1.508,12
petronioi,infected,1.428,12
petronioi,infected,1.317,9
petronioi,infected,1.349,8
petronioi,infected,1.444,10
petronioi,infected,1.365,10
petronioi,infected,1.444,12
petronioi,infected,1.476,11
petronioi,infected,1.349,8
petronioi,infected,1.333,8
petronioi,infected,1.571,14
petronioi,infected,1.444,9
petronioi,infected,1.349,10
petronioi,infected,1.428,10
petronioi,infected,1.524,12
petronioi,infected,1.397,10
petronioi,infected,1.397,7
petronioi,infected,1.444,12
petronioi,infected,1.428,11
petronioi,infected,1.301,8
petronioi,uninfected,1.46,10
petronioi,uninfected,1.397,7
petronioi,uninfected,1.381,9
petronioi,uninfected,1.428,11
